2207744.0,946176,1388544.0,1294336.0
2146304.0,1126400.0,1622016.0,3649536.0
2195456.0,2154496.0,520192,3481600.0
995328,860160,1384448.0,1380352.0
753664,1761280.0,479232,3579904.0
1773568.0,1155072.0,1003520.0,3993600.0
4464640.0,864256,380928,3190784.0
2162688.0,974848,626688,3227648.0
4235264.0,1757184.0,262144,3743744.0
1744896.0,2170880.0,536576,3899392.0
1634304.0,2027520.0,659456,3321856.0
1122304.0,995328,491520,3706880.0
2011136.0,1150976.0,1523712.0,3706880.0
1212416.0,2498560.0,499712,11169792.0
2236416.0,1286144.0,860160,5935104.0
2002944.0,1658880.0,503808,6496256.0
2109440.0,987136,1265664.0,3297280.0
2236416.0,974848,491520,11427840.0
1990656.0,2048000.0,1462272.0,1101824.0
