0.735,0.702,0.589,0.633,0.615
0.766,0.689,0.604,0.674,0.619
0.742,0.710,0.615,0.696,0.654
1.438,1.481,1.044,1.880,58.183
0.800,0.740,0.627,0.724,0.635
0.803,0.744,0.602,0.736,0.661
0.725,0.685,0.606,0.631,0.626
0.719,0.690,0.578,0.665,0.634
0.738,0.752,0.609,0.703,0.633
0.736,0.660,0.538,0.655,0.622
0.787,0.742,0.612,0.716,1.002
0.791,0.732,0.567,0.716,0.991
0.823,0.780,0.581,0.753,0.871
0.773,0.694,0.551,0.657,0.608
0.718,0.661,0.554,0.679,0.627
0.739,0.726,0.568,0.639,0.620
0.730,0.708,0.539,0.684,0.635
0.739,0.672,0.586,0.707,0.591
0.753,0.649,0.575,0.635,0.615
0.747,0.687,0.604,0.683,0.637
0.722,0.693,0.558,0.622,0.631
0.752,0.729,0.594,0.733,0.624
0.744,0.708,0.567,0.620,0.588
0.810,0.693,0.579,0.722,0.625
0.779,0.673,0.550,0.691,0.601
0.739,0.727,0.610,0.642,0.610
0.731,0.690,0.553,0.717,0.659
0.763,0.718,0.602,0.657,0.657
0.755,0.685,0.570,0.647,0.618
0.734,0.651,0.599,0.643,0.624
0.755,0.659,0.571,0.693,0.611
0.714,0.640,0.588,0.699,0.662
0.796,0.742,0.586,0.752,0.651
0.762,0.687,0.536,0.723,0.645
0.770,0.737,0.558,0.688,0.642
0.726,0.683,0.633,0.669,0.639
0.748,0.712,0.557,0.654,0.589
0.749,0.706,0.559,0.721,0.679
0.748,0.667,0.585,0.621,0.622
0.768,0.749,0.558,0.717,0.628
0.765,0.758,0.594,0.718,0.624
0.722,0.695,0.572,0.691,0.611
0.700,0.676,0.588,0.646,0.609
0.740,0.724,0.539,0.626,0.617
0.747,0.662,0.584,0.656,0.675
0.726,0.696,0.584,0.685,0.643
0.727,0.717,0.602,0.645,0.630
0.739,0.691,0.578,0.721,0.632
0.757,0.657,0.620,0.714,0.680
0.798,0.697,0.631,0.733,0.624
0.715,0.682,0.573,0.683,0.650
