12.011,10.070,0.713,9.206,3.835
12.139,9.177,0.701,8.179,3.325
11.221,8.669,0.663,7.634,3.377
12.542,9.637,0.719,8.163,4.014
12.177,8.648,0.668,8.129,3.441
14.709,10.714,1.374,7.598,17.777
12.186,9.430,0.659,8.050,3.423
12.430,10.008,0.710,8.451,3.725
11.300,8.690,0.664,7.614,3.238
11.307,9.366,0.702,7.767,3.145
12.178,9.099,0.673,7.880,3.294
11.975,9.351,0.703,8.127,3.521
14.427,9.136,1.159,11.690,7.839
12.318,9.441,0.687,8.582,3.638
12.383,9.415,0.664,8.302,3.596
12.014,9.100,0.688,7.888,3.404
12.137,9.256,0.690,8.092,3.428
11.857,9.233,0.678,8.127,3.459
13.652,8.628,1.157,10.499,6.950
